<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.03	18:20:00	2341.38	2344.21	2341.04	2342.96	952	0	4
2024.06.03	18:25:00	2343.00	2343.54	2341.80	2342.52	778	0	4
2024.06.03	18:30:00	2342.58	2343.24	2341.51	2341.51	641	0	4
2024.06.03	18:35:00	2341.51	2344.13	2341.12	2343.60	691	0	4
2024.06.03	18:40:00	2343.59	2343.99	2342.75	2342.78	641	0	4
2024.06.03	18:45:00	2342.78	2343.15	2340.85	2341.58	550	0	4
2024.06.03	18:50:00	2341.59	2342.51	2341.14	2341.50	564	0	4
2024.06.03	18:55:00	2341.52	2343.74	2341.43	2342.82	577	0	4
2024.06.03	19:00:00	2342.83	2343.24	2341.66	2343.06	533	0	4
2024.06.03	19:05:00	2343.09	2343.44	2342.18	2343.19	661	0	4
2024.06.03	19:10:00	2343.25	2344.28	2342.58	2342.68	587	0	4
2024.06.03	19:15:00	2342.69	2343.17	2341.68	2341.68	576	0	4
2024.06.03	19:20:00	2341.68	2342.77	2341.42	2342.47	480	0	4
2024.06.03	19:25:00	2342.47	2343.74	2341.68	2343.74	411	0	4
2024.06.03	19:30:00	2343.73	2344.85	2343.22	2344.34	578	0	4
2024.06.03	19:35:00	2344.34	2347.08	2344.32	2346.69	701	0	4
2024.06.03	19:40:00	2346.70	2348.97	2346.01	2347.42	778	0	4
2024.06.03	19:45:00	2347.47	2348.01	2346.23	2346.54	566	0	4
2024.06.03	19:50:00	2346.55	2349.05	2346.42	2348.60	558	0	4
2024.06.03	19:55:00	2348.62	2350.08	2347.23	2349.20	572	0	4
2024.06.03	20:00:00	2349.10	2352.90	2348.78	2352.73	1050	0	4
2024.06.03	20:05:00	2352.74	2354.72	2351.22	2351.41	942	0	4
2024.06.03	20:10:00	2351.31	2351.64	2349.32	2350.63	617	0	4
2024.06.03	20:15:00	2350.65	2350.84	2349.34	2349.54	459	0	4
2024.06.03	20:20:00	2349.44	2349.76	2348.42	2348.87	540	0	4
